PCON11CD,Constituency name,Estimated Leave vote share,Known Leave vote share,How do we know?,Figure to use,,
E14000530,Aldershot,0.580974479,0.578977657,Rosenbaum / Greenwood data,0.578977657,,Sources:
E14000531,Aldridge-Brownhills,0.687227548,0.677963496,Rosenbaum / Greenwood data,0.677963496,,"(1) “Areal interpolation and the UK’s referendum on EU membership”, Chris Hanretty, Journal Of Elections, Public Opinion And Parties, Online Early Access, http://dx.doi.org/10.1080/17457289.2017.1287081
"
E14000532,Altrincham and Sale West,0.385878,,,0.385878,,"(2) ""Local voting figures shed new light on EU referendum"", Martin Rosenbaum, http://www.bbc.co.uk/news/uk-politics-38762034"
E14000533,Amber Valley,0.652991247,,,0.652991247,,
E14000534,Arundel and South Downs,0.497011058,,,0.497011058,,
E14000535,Ashfield,0.704728888,,,0.704728888,,
E14000536,Ashford,0.598619474,,,0.598619474,,
E14000537,Ashton-under-Lyne,0.634056838,0.618098026,Rosenbaum / Greenwood data,0.618098026,,
E14000538,Aylesbury,0.517879098,,,0.517879098,,
E14000539,Banbury,0.503477977,,,0.503477977,,
E14000540,Barking,0.599748796,,,0.599748796,,
E14000541,Barnsley Central,0.681881304,,,0.681881304,,
E14000542,Barnsley East,0.709849935,,,0.709849935,,
E14000543,Barrow and Furness,0.572787065,,,0.572787065,,
E14000544,Basildon and Billericay,0.671358773,,,0.671358773,,
E14000545,Basingstoke,0.53598782,,,0.53598782,,
E14000546,Bassetlaw,0.68322755,,,0.68322755,,
E14000547,Bath,0.317245489,,,0.317245489,,
E14000548,Batley and Spen,0.596283976,,,0.596283976,,
E14000549,Battersea,0.220467406,,,0.220467406,,
E14000550,Beaconsfield,0.490062673,,,0.490062673,,
E14000551,Beckenham,0.465816411,0.483817049,Rosenbaum / Greenwood data,0.483817049,,
E14000552,Bedford,0.534053564,0.519491665,Rosenbaum / Greenwood data,0.519491665,,
E14000553,Bermondsey and Old Southwark,0.260503273,,,0.260503273,,
E14000554,Berwick-upon-Tweed,0.552978154,,,0.552978154,,
E14000555,Bethnal Green and Bow,0.308583952,,,0.308583952,,
E14000556,Beverley and Holderness,0.587394756,,,0.587394756,,
E14000557,Bexhill and Battle,0.577212146,,,0.577212146,,
E14000558,Bexleyheath and Crayford,0.652551375,,,0.652551375,,
E14000559,Birkenhead,0.527042226,0.517076065,Rosenbaum / Greenwood data,0.517076065,,
E14000560,"Birmingham, Edgbaston",0.437517315,0.473470705,Rosenbaum / Greenwood data,0.473470705,,
E14000561,"Birmingham, Erdington",0.584800591,0.629728917,Rosenbaum / Greenwood data,0.629728917,,
E14000562,"Birmingham, Hall Green",0.421766233,0.335687509,Rosenbaum / Greenwood data,0.335687509,,
E14000563,"Birmingham, Hodge Hill",0.508121789,0.514841673,Rosenbaum / Greenwood data,0.514841673,,
E14000564,"Birmingham, Ladywood",0.398378166,0.356226716,Rosenbaum / Greenwood data,0.356226716,,
E14000565,"Birmingham, Northfield",0.593187708,0.617882451,Rosenbaum / Greenwood data,0.617882451,,
E14000566,"Birmingham, Perry Barr",0.541512631,0.512173171,Rosenbaum / Greenwood data,0.512173171,,
E14000567,"Birmingham, Selly Oak",0.457496277,0.469074313,Rosenbaum / Greenwood data,0.469074313,,
E14000568,"Birmingham, Yardley",0.606179891,0.600948076,Rosenbaum / Greenwood data,0.600948076,,
E14000569,Bishop Auckland,0.608859752,,,0.608859752,,
E14000570,Blackburn,0.559428156,0.537292573,Rosenbaum / Greenwood data,0.537292573,,
E14000571,Blackley and Broughton,0.500392038,,,0.500392038,,
E14000572,Blackpool North and Cleveleys,0.669103424,,,0.669103424,,
E14000573,Blackpool South,0.678141246,,,0.678141246,,
E14000574,Blaydon,0.561246243,,,0.561246243,,
E14000575,Blyth Valley,0.604948533,,,0.604948533,,
E14000576,Bognor Regis and Littlehampton,0.64792305,,,0.64792305,,
E14000577,Bolsover,0.703942464,,,0.703942464,,
E14000578,Bolton North East,0.581127597,,,0.581127597,,
E14000579,Bolton South East,0.630276743,,,0.630276743,,
E14000580,Bolton West,0.555540265,,,0.555540265,,
E14000581,Bootle,0.547996745,,,0.547996745,,
E14000582,Boston and Skegness,0.756498714,,,0.756498714,,
E14000583,Bosworth,0.608293639,,,0.608293639,,
E14000584,Bournemouth East,0.536906946,,,0.536906946,,
E14000585,Bournemouth West,0.577317666,,,0.577317666,,
E14000586,Bracknell,0.532448746,,,0.532448746,,
E14000587,Bradford East,0.556252936,0.551578293,Rosenbaum / Greenwood data,0.551578293,,
E14000588,Bradford South,0.635601056,0.635612178,Rosenbaum / Greenwood data,0.635612178,,
E14000589,Bradford West,0.463724209,0.467408544,Rosenbaum / Greenwood data,0.467408544,,
E14000590,Braintree,0.615156402,,,0.615156402,,
E14000591,Brent Central,0.428875883,,,0.428875883,,
E14000592,Brent North,0.426117511,,,0.426117511,,
E14000593,Brentford and Isleworth,0.403512681,0.433089032,Rosenbaum / Greenwood data,0.433089032,,
E14000594,Brentwood and Ongar,0.611892869,,,0.611892869,,
E14000595,Bridgwater and West Somerset,0.620639832,,,0.620639832,,
E14000596,Brigg and Goole,0.662269169,,,0.662269169,,
E14000597,"Brighton, Kemptown",0.435923134,,,0.435923134,,
E14000598,"Brighton, Pavilion",0.259335501,,,0.259335501,,
E14000599,Bristol East,0.487260054,0.467952718,Rosenbaum / Greenwood data,0.467952718,,
E14000600,Bristol North West,0.412667041,0.38852812,Rosenbaum / Greenwood data,0.38852812,,
E14000601,Bristol South,0.472841844,0.479528379,Rosenbaum / Greenwood data,0.479528379,,
E14000602,Bristol West,0.191182504,0.207115084,Rosenbaum / Greenwood data,0.207115084,,
E14000603,Broadland,0.54100848,,,0.54100848,,
E14000604,Bromley and Chislehurst,0.49698998,0.498288693,Rosenbaum / Greenwood data,0.498288693,,
E14000605,Bromsgrove,0.553651279,,,0.553651279,,
E14000606,Broxbourne,0.655347732,,,0.655347732,,
E14000607,Broxtowe,0.525137019,,,0.525137019,,
E14000608,Buckingham,0.488708672,,,0.488708672,,
E14000609,Burnley,0.66612799,,,0.66612799,,
E14000610,Burton,0.647931575,,,0.647931575,,
E14000611,Bury North,0.536670312,,,0.536670312,,
E14000612,Bury South,0.545117526,,,0.545117526,,
E14000613,Bury St Edmunds,0.539924714,,,0.539924714,,
E14000614,Calder Valley,0.515096667,0.531642131,Rosenbaum / Greenwood data,0.531642131,,
E14000615,Camberwell and Peckham,0.314817703,,,0.314817703,,
E14000616,Camborne and Redruth,0.584128528,,,0.584128528,,
E14000617,Cambridge,0.262648857,0.262252731,Rosenbaum / Greenwood data,0.262252731,,
E14000618,Cannock Chase,0.688603531,0.688603531,Rosenbaum / Greenwood data,0.688603531,,
E14000619,Canterbury,0.453274048,,,0.453274048,,
E14000620,Carlisle,0.606437746,,,0.606437746,,
E14000621,Carshalton and Wallington,0.56261214,0.543019152,Council ward data; personal communication from Charlie Mansell,0.56261214,,
E14000622,Castle Point,0.726993924,,,0.726993924,,
E14000623,Central Devon,0.508869519,,,0.508869519,,
E14000624,Central Suffolk and North Ipswich,0.548911912,,,0.548911912,,
E14000625,Charnwood,0.578746718,,,0.578746718,,
E14000626,Chatham and Aylesford,0.639053918,,,0.639053918,,
E14000627,Cheadle,0.420735627,0.426530326,Rosenbaum / Greenwood data,0.426530326,,
E14000628,Chelmsford,0.506832006,,,0.506832006,,
E14000629,Chelsea and Fulham,0.290990556,,,0.290990556,,
E14000630,Cheltenham,0.428989761,,,0.428989761,,
E14000631,Chesham and Amersham,0.44984984,,,0.44984984,,
E14000632,Chesterfield,0.592932532,,,0.592932532,,
E14000633,Chichester,0.507327707,,,0.507327707,,
E14000634,Chingford and Woodford Green,0.49880471,,,0.49880471,,
E14000635,Chippenham,0.515858182,,,0.515858182,,
E14000636,Chipping Barnet,0.41074578,,,0.41074578,,
E14000637,Chorley,0.56745851,,,0.56745851,,
E14000638,Christchurch,0.599639612,,,0.599639612,,
E14000639,Cities of London and Westminster,0.280536729,,,0.280536729,,
E14000640,City of Chester,0.422757087,,,0.422757087,,
E14000641,City of Durham,0.43336734,,,0.43336734,,
E14000642,Clacton,0.730439705,,,0.730439705,,
E14000643,Cleethorpes,0.69503821,,,0.69503821,,
E14000644,Colchester,0.515144818,,,0.515144818,,
E14000645,Colne Valley,0.500553492,,,0.500553492,,
E14000646,Congleton,0.526126911,,,0.526126911,,
E14000647,Copeland,0.591965837,,,0.591965837,,
E14000648,Corby,0.601468893,,,0.601468893,,
E14000649,Coventry North East,0.577745682,,,0.577745682,,
E14000650,Coventry North West,0.5837436,,,0.5837436,,
E14000651,Coventry South,0.503794929,,,0.503794929,,
E14000652,Crawley,0.584136714,,,0.584136714,,
E14000653,Crewe and Nantwich,0.602891232,,,0.602891232,,
E14000654,Croydon Central,0.487376367,0.503102407,Rosenbaum / Greenwood data,0.503102407,,
E14000655,Croydon North,0.432701715,0.41168066,Rosenbaum / Greenwood data,0.41168066,,
E14000656,Croydon South,0.453123536,0.458056749,Rosenbaum / Greenwood data,0.458056749,,
E14000657,Dagenham and Rainham,0.703479569,,,0.703479569,,
E14000658,Darlington,0.580996502,,,0.580996502,,
E14000659,Dartford,0.639834539,,,0.639834539,,
E14000660,Daventry,0.585894934,,,0.585894934,,
E14000661,Denton and Reddish,0.614019738,0.609840282,Rosenbaum / Greenwood data,0.609840282,,
E14000662,Derby North,0.542503796,,,0.542503796,,
E14000663,Derby South,0.613534511,,,0.613534511,,
E14000664,Derbyshire Dales,0.512354118,,,0.512354118,,
E14000665,Devizes,0.535341945,,,0.535341945,,
E14000666,Dewsbury,0.571465485,,,0.571465485,,
E14000667,Don Valley,0.684864372,,,0.684864372,,
E14000668,Doncaster Central,0.667048397,,,0.667048397,,
E14000669,Doncaster North,0.716506862,,,0.716506862,,
E14000670,Dover,0.630096124,,,0.630096124,,
E14000671,Dudley North,0.698443696,0.714302256,Rosenbaum / Greenwood data,0.714302256,,
E14000672,Dudley South,0.697019287,0.704173185,Rosenbaum / Greenwood data,0.704173185,,
E14000673,Dulwich and West Norwood,0.229374207,,,0.229374207,,
E14000674,Ealing Central and Acton,0.290959798,0.291502806,Rosenbaum / Greenwood data,0.291502806,,
E14000675,Ealing North,0.485534483,0.462560922,Rosenbaum / Greenwood data,0.462560922,,
E14000676,"Ealing, Southall",0.43223582,0.418263491,Rosenbaum / Greenwood data,0.418263491,,
E14000677,Easington,0.659633748,,,0.659633748,,
E14000678,East Devon,0.504076662,,,0.504076662,,
E14000679,East Ham,0.462692813,,,0.462692813,,
E14000680,East Hampshire,0.492743694,,,0.492743694,,
E14000681,East Surrey,0.541993428,,,0.541993428,,
E14000682,East Worthing and Shoreham,0.536814482,,,0.536814482,,
E14000683,East Yorkshire,0.636621847,,,0.636621847,,
E14000684,Eastbourne,0.575444606,,,0.575444606,,
E14000685,Eastleigh,0.543458993,,,0.543458993,,
E14000686,Eddisbury,0.521666686,,,0.521666686,,
E14000687,Edmonton,0.473991624,0.455096172,Rosenbaum / Greenwood data,0.455096172,,
E14000688,Ellesmere Port and Neston,0.583419781,,,0.583419781,,
E14000689,Elmet and Rothwell,0.56793101,,,0.56793101,,
E14000690,Eltham,0.523675991,0.518152651,Rosenbaum / Greenwood data,0.518152651,,
E14000691,Enfield North,0.479370019,0.492154426,Rosenbaum / Greenwood data,0.492154426,,
E14000692,"Enfield, Southgate",0.376070134,0.378848159,Rosenbaum / Greenwood data,0.378848159,,
E14000693,Epping Forest,0.610112858,,,0.610112858,,
E14000694,Epsom and Ewell,0.477807571,,,0.477807571,,
E14000695,Erewash,0.632237912,,,0.632237912,,
E14000696,Erith and Thamesmead,0.546308785,,,0.546308785,,
E14000697,Esher and Walton,0.415663302,,,0.415663302,,
E14000698,Exeter,0.448278936,,,0.448278936,,
E14000699,Fareham,0.555201073,,,0.555201073,,
E14000700,Faversham and Mid Kent,0.58670455,,,0.58670455,,
E14000701,Feltham and Heston,0.58305386,0.559320054,Rosenbaum / Greenwood data,0.559320054,,
E14000702,Filton and Bradley Stoke,0.487730339,,,0.487730339,,
E14000703,Finchley and Golders Green,0.311007869,,,0.311007869,,
E14000704,Folkestone and Hythe,0.616404102,,,0.616404102,,
E14000705,Forest of Dean,0.578888968,,,0.578888968,,
E14000706,Fylde,0.56728643,,,0.56728643,,
E14000707,Gainsborough,0.619558242,,,0.619558242,,
E14000708,Garston and Halewood,0.479628137,,,0.479628137,,
E14000709,Gateshead,0.56223255,,,0.56223255,,
E14000710,Gedling,0.562974291,,,0.562974291,,
E14000711,Gillingham and Rainham,0.642481924,0.635820896,Rosenbaum / Greenwood data,0.635820896,,
E14000712,Gloucester,0.58812171,0.589001472,Rosenbaum / Greenwood data,0.589001472,,
E14000713,Gosport,0.618151926,,,0.618151926,,
E14000714,Grantham and Stamford,0.609959141,,,0.609959141,,
E14000715,Gravesham,0.65377208,,,0.65377208,,
E14000716,Great Grimsby,0.691596538,0.714466296,Rosenbaum / Greenwood data,0.714466296,,
E14000717,Great Yarmouth,0.715049473,,,0.715049473,,
E14000718,Greenwich and Woolwich,0.347292084,0.356656796,Rosenbaum / Greenwood data,0.356656796,,
E14000719,Guildford,0.41202344,,,0.41202344,,
E14000720,Hackney North and Stoke Newington,0.204807893,,,0.204807893,,
E14000721,Hackney South and Shoreditch,0.227822619,,,0.227822619,,
E14000722,Halesowen and Rowley Regis,0.66589868,,,0.66589868,,
E14000723,Halifax,0.606989747,0.588216533,Rosenbaum / Greenwood data,0.588216533,,
E14000724,Haltemprice and Howden,0.552317096,,,0.552317096,,
E14000725,Halton,0.576668684,,,0.576668684,,
E14000726,Hammersmith,0.313136338,,,0.313136338,,
E14000727,Hampstead and Kilburn,0.237253193,,,0.237253193,,
E14000728,Harborough,0.523664029,,,0.523664029,,
E14000729,Harlow,0.677323179,,,0.677323179,,
E14000730,Harrogate and Knaresborough,0.471793551,,,0.471793551,,
E14000731,Harrow East,0.497066093,0.474785845,Rosenbaum / Greenwood data,0.474785845,,
E14000732,Harrow West,0.418683856,0.450562432,Rosenbaum / Greenwood data,0.450562432,,
E14000733,Hartlepool,0.695683297,,,0.695683297,,
E14000734,Harwich and North Essex,0.589955845,,,0.589955845,,
E14000735,Hastings and Rye,0.559372394,,,0.559372394,,
E14000736,Havant,0.62617908,,,0.62617908,,
E14000737,Hayes and Harlington,0.582450013,,,0.582450013,,
E14000738,Hazel Grove,0.516880076,0.522085915,Rosenbaum / Greenwood data,0.522085915,,
E14000739,Hemel Hempstead,0.55486562,,,0.55486562,,
E14000740,Hemsworth,0.673504994,0.681255456,Rosenbaum / Greenwood data,0.681255456,,
E14000741,Hendon,0.415741753,,,0.415741753,,
E14000742,Henley,0.430858202,,,0.430858202,,
E14000743,Hereford and South Herefordshire,0.604175582,,,0.604175582,,
E14000744,Hertford and Stortford,0.492372345,,,0.492372345,,
E14000745,Hertsmere,0.508365256,,,0.508365256,,
E14000746,Hexham,0.453367358,,,0.453367358,,
E14000747,Heywood and Middleton,0.619602188,0.624256116,Rosenbaum / Greenwood data,0.624256116,,
E14000748,High Peak,0.505480277,,,0.505480277,,
E14000749,Hitchin and Harpenden,0.393087077,0.397935195,Rosenbaum / Greenwood data,0.397935195,,
E14000750,Holborn and St Pancras,0.275974688,0.266587436,Rosenbaum / Greenwood data,0.266587436,,
E14000751,Hornchurch and Upminster,0.697768435,0.694946937,Rosenbaum / Greenwood data,0.694946937,,
E14000752,Hornsey and Wood Green,0.18247993,0.2498291,Rosenbaum / Greenwood data,0.2498291,,
E14000753,Horsham,0.494864101,,,0.494864101,,
E14000754,Houghton and Sunderland South,0.645045283,0.624341858,Rosenbaum / Greenwood data,0.624341858,,
E14000755,Hove,0.329468448,,,0.329468448,,
E14000756,Huddersfield,0.518508416,,,0.518508416,,
E14000757,Huntingdon,0.534889703,,,0.534889703,,
E14000758,Hyndburn,0.658191278,,,0.658191278,,
E14000759,Ilford North,0.533092042,,,0.533092042,,
E14000760,Ilford South,0.433097999,,,0.433097999,,
E14000761,Ipswich,0.565157235,,,0.565157235,,
E14000762,Isle of Wight,0.619463341,,,0.619463341,,
E14000763,Islington North,0.234482452,0.216111236,Rosenbaum / Greenwood data,0.216111236,,
E14000764,Islington South and Finsbury,0.261857807,0.282831001,Rosenbaum / Greenwood data,0.282831001,,
E14000765,Jarrow,0.617773494,,,0.617773494,,
E14000766,Keighley,0.555612091,0.533250953,Rosenbaum / Greenwood data,0.533250953,,
E14000767,Kenilworth and Southam,0.462056819,,,0.462056819,,
E14000768,Kensington,0.312045861,,,0.312045861,,
E14000769,Kettering,0.609883689,,,0.609883689,,
E14000770,Kingston and Surbiton,0.408444531,,,0.408444531,,
E14000771,Kingston upon Hull East,0.72831563,,,0.72831563,,
E14000772,Kingston upon Hull North,0.597896657,,,0.597896657,,
E14000773,Kingston upon Hull West and Hessle,0.679906801,,,0.679906801,,
E14000774,Kingswood,0.571216387,,,0.571216387,,
E14000775,Knowsley,0.523421607,,,0.523421607,,
E14000776,Lancaster and Fleetwood,0.519890842,,,0.519890842,,
E14000777,Leeds Central,0.45960968,,,0.45960968,,
E14000778,Leeds East,0.614443481,,,0.614443481,,
E14000779,Leeds North East,0.374228476,,,0.374228476,,
E14000780,Leeds North West,0.354060965,,,0.354060965,,
E14000781,Leeds West,0.532661381,,,0.532661381,,
E14000782,Leicester East,0.540619991,,,0.540619991,,
E14000783,Leicester South,0.424353547,,,0.424353547,,
E14000784,Leicester West,0.508359919,,,0.508359919,,
E14000785,Leigh,0.632878009,,,0.632878009,,
E14000786,Lewes,0.471421738,,,0.471421738,,
E14000787,Lewisham East,0.353705046,,,0.353705046,,
E14000788,Lewisham West and Penge,0.345920578,,,0.345920578,,
E14000789,"Lewisham, Deptford",0.244262123,,,0.244262123,,
E14000790,Leyton and Wanstead,0.34755182,,,0.34755182,,
E14000791,Lichfield,0.575089022,,,0.575089022,,
E14000792,Lincoln,0.574326337,,,0.574326337,,
E14000793,"Liverpool, Riverside",0.27300662,,,0.27300662,,
E14000794,"Liverpool, Walton",0.521680356,,,0.521680356,,
E14000795,"Liverpool, Wavertree",0.352616254,,,0.352616254,,
E14000796,"Liverpool, West Derby",0.498207198,,,0.498207198,,
E14000797,Loughborough,0.500904207,,,0.500904207,,
E14000798,Louth and Horncastle,0.6889943,,,0.6889943,,
E14000799,Ludlow,0.578840184,,,0.578840184,,
E14000800,Luton North,0.591531961,,,0.591531961,,
E14000801,Luton South,0.545971778,,,0.545971778,,
E14000802,Macclesfield,0.471837972,,,0.471837972,,
E14000803,Maidenhead,0.450257011,,,0.450257011,,
E14000804,Maidstone and The Weald,0.559171965,,,0.559171965,,
E14000805,Makerfield,0.64910088,,,0.64910088,,
E14000806,Maldon,0.609560321,,,0.609560321,,
E14000807,Manchester Central,0.363565763,,,0.363565763,,
E14000808,"Manchester, Gorton",0.38212184,,,0.38212184,,
E14000809,"Manchester, Withington",0.249385986,,,0.249385986,,
E14000810,Mansfield,0.708629135,,,0.708629135,,
E14000811,Meon Valley,0.519275309,,,0.519275309,,
E14000812,Meriden,0.581206385,0.588084347,Rosenbaum / Greenwood data,0.588084347,,
E14000813,Mid Bedfordshire,0.528804536,,,0.528804536,,
E14000814,Mid Derbyshire,0.524707075,,,0.524707075,,
E14000815,Mid Dorset and North Poole,0.570831648,,,0.570831648,,
E14000816,Mid Norfolk,0.605981283,,,0.605981283,,
E14000817,Mid Sussex,0.464405928,,,0.464405928,,
E14000818,Mid Worcestershire,0.593865282,,,0.593865282,,
E14000819,Middlesbrough,0.644781963,0.660836466,Rosenbaum / Greenwood data,0.660836466,,
E14000820,Middlesbrough South and East Cleveland,0.652655299,,,0.652655299,,
E14000821,Milton Keynes North,0.496650905,,,0.496650905,,
E14000822,Milton Keynes South,0.53081404,,,0.53081404,,
E14000823,Mitcham and Morden,0.490303222,0.446865238,Rosenbaum / Greenwood data,0.446865238,,
E14000824,Mole Valley,0.473113276,,,0.473113276,,
E14000825,Morecambe and Lunesdale,0.581856206,,,0.581856206,,
E14000826,Morley and Outwood,0.598172774,,,0.598172774,,
E14000827,New Forest East,0.601781451,,,0.601781451,,
E14000828,New Forest West,0.552576565,,,0.552576565,,
E14000829,Newark,0.557006959,,,0.557006959,,
E14000830,Newbury,0.478055628,,,0.478055628,,
E14000831,Newcastle upon Tyne Central,0.480030798,,,0.480030798,,
E14000832,Newcastle upon Tyne East,0.410712554,,,0.410712554,,
E14000833,Newcastle upon Tyne North,0.568289241,,,0.568289241,,
E14000834,Newcastle-under-Lyme,0.616449863,,,0.616449863,,
E14000835,Newton Abbot,0.560133703,,,0.560133703,,
E14000836,"Normanton, Pontefract and Castleford",0.703466954,0.692552829,Rosenbaum / Greenwood data,0.692552829,,
E14000837,North Cornwall,0.601925003,,,0.601925003,,
E14000838,North Devon,0.570384794,,,0.570384794,,
E14000839,North Dorset,0.566086028,,,0.566086028,,
E14000840,North Durham,0.60304872,,,0.60304872,,
E14000841,North East Bedfordshire,0.534376055,,,0.534376055,,
E14000842,North East Cambridgeshire,0.693543227,,,0.693543227,,
E14000843,North East Derbyshire,0.620516723,,,0.620516723,,
E14000844,North East Hampshire,0.461789136,,,0.461789136,,
E14000845,North East Hertfordshire,0.514300732,,,0.514300732,,
E14000846,North East Somerset,0.516345075,,,0.516345075,,
E14000847,North Herefordshire,0.580189343,,,0.580189343,,
E14000848,North Norfolk,0.584002867,,,0.584002867,,
E14000849,North Shropshire,0.598481186,,,0.598481186,,
E14000850,North Somerset,0.475836991,,,0.475836991,,
E14000851,North Swindon,0.572856138,,,0.572856138,,
E14000852,North Thanet,0.651825616,,,0.651825616,,
E14000853,North Tyneside,0.595207188,,,0.595207188,,
E14000854,North Warwickshire,0.6776303,,,0.6776303,,
E14000855,North West Cambridgeshire,0.56934097,,,0.56934097,,
E14000856,North West Durham,0.550462004,,,0.550462004,,
E14000857,North West Hampshire,0.547548756,,,0.547548756,,
E14000858,North West Leicestershire,0.606984777,,,0.606984777,,
E14000859,North West Norfolk,0.657782861,,,0.657782861,,
E14000860,North Wiltshire,0.503021498,,,0.503021498,,
E14000861,Northampton North,0.602712901,,,0.602712901,,
E14000862,Northampton South,0.589952188,,,0.589952188,,
E14000863,Norwich North,0.567266216,,,0.567266216,,
E14000864,Norwich South,0.405303001,,,0.405303001,,
E14000865,Nottingham East,0.42616162,0.428793221,Rosenbaum / Greenwood data,0.428793221,,
E14000866,Nottingham North,0.632790864,0.63808056,Rosenbaum / Greenwood data,0.63808056,,
E14000867,Nottingham South,0.455881292,0.464677648,Rosenbaum / Greenwood data,0.464677648,,
E14000868,Nuneaton,0.645059931,,,0.645059931,,
E14000869,Old Bexley and Sidcup,0.624304876,,,0.624304876,,
E14000870,Oldham East and Saddleworth,0.578752339,0.599204345,Rosenbaum / Greenwood data,0.599204345,,
E14000871,Oldham West and Royton,0.623077976,0.613082972,Rosenbaum / Greenwood data,0.613082972,,
E14000872,Orpington,0.561972606,0.575414984,Rosenbaum / Greenwood data,0.575414984,,
E14000873,Oxford East,0.325263375,,,0.325263375,,
E14000874,Oxford West and Abingdon,0.38029241,,,0.38029241,,
E14000875,Pendle,0.631542958,,,0.631542958,,
E14000876,Penistone and Stocksbridge,0.606512766,,,0.606512766,,
E14000877,Penrith and The Border,0.552024096,,,0.552024096,,
E14000878,Peterborough,0.626801331,0.613095947,Rosenbaum / Greenwood data,0.613095947,,
