PCON11CD,turnout,Electorate15,Region,Turnout,Seat
E14000530,54950,72430,South East,0.758663537,Aldershot
E14000531,45900,60215,West Midlands,0.762268538,Aldridge-Brownhills
E14000532,58132,71511,North West,0.812909902,Altrincham and Sale West
E14000533,51327,69510,East Midlands,0.738411739,Amber Valley
E14000534,65499,77242,South East,0.847971311,Arundel and South Downs
E14000535,57436,77091,East Midlands,0.745041574,Ashfield
E14000536,66208,85177,South East,0.777299036,Ashford
E14000537,45120,68343,North West,0.660199289,Ashton-under-Lyne
E14000538,62759,80315,South East,0.781410695,Aylesbury
E14000539,67230,86420,South East,0.77794492,Banbury
E14000540,46781,73977,London,0.632372224,Barking
E14000541,44212,64534,Yorkshire and The Humber,0.685096228,Barnsley Central
E14000542,47123,69135,Yorkshire and The Humber,0.681608447,Barnsley East
E14000543,48419,68338,North West,0.708522345,Barrow and Furness
E14000544,49927,66347,East of England,0.752513301,Basildon and Billericay
E14000545,60966,79665,South East,0.765279608,Basingstoke
E14000546,58695,76796,East Midlands,0.76429762,Bassetlaw
E14000547,50141,63084,South West,0.794829117,Bath
E14000548,54726,78373,Yorkshire and The Humber,0.698276192,Batley and Spen
E14000549,56648,76111,London,0.744281379,Battersea
E14000550,61440,74726,South East,0.822203785,Beaconsfield
E14000551,54867,67439,London,0.813579679,Beckenham
E14000552,49097,69311,East of England,0.708357981,Bedford
E14000553,55391,83298,London,0.664973949,Bermondsey and Old Southwark
E14000554,43027,56969,North East,0.75527041,Berwick-upon-Tweed
E14000555,53762,82727,London,0.649872472,Bethnal Green and Bow
E14000556,59854,80805,Yorkshire and The Humber,0.74072149,Beverley and Holderness
E14000557,64749,78796,South East,0.821729529,Bexhill and Battle
E14000558,49244,64828,London,0.759610045,Bexleyheath and Crayford
E14000559,40531,62410,North West,0.649431181,Birkenhead
E14000560,42189,65591,West Midlands,0.643213246,"Birmingham, Edgbaston"
E14000561,41196,65128,West Midlands,0.632539,"Birmingham, Erdington"
E14000562,42094,76330,West Midlands,0.551473864,"Birmingham, Hall Green"
E14000563,46529,75302,West Midlands,0.617898595,"Birmingham, Hodge Hill"
E14000564,41291,68128,West Midlands,0.606079732,"Birmingham, Ladywood"
E14000565,47227,71428,West Midlands,0.66118329,"Birmingham, Northfield"
E14000566,41462,69943,West Midlands,0.592796992,"Birmingham, Perry Barr"
E14000567,45340,75092,West Midlands,0.603792681,"Birmingham, Selly Oak"
E14000568,46164,72146,West Midlands,0.639869154,"Birmingham, Yardley"
E14000569,44596,66070,North East,0.674981081,Bishop Auckland
E14000570,43796,73260,North West,0.597815998,Blackburn
E14000571,44236,71913,North West,0.615132174,Blackley and Broughton
E14000572,42571,62468,North West,0.68148492,Blackpool North and Cleveleys
E14000573,37601,57411,North West,0.654944175,Blackpool South
E14000574,48985,67901,North East,0.721417947,Blaydon
E14000575,44331,61247,North East,0.72380688,Blyth Valley
E14000576,56340,72995,South East,0.771833687,Bognor Regis and Littlehampton
E14000577,52593,71979,East Midlands,0.730671446,Bolsover
E14000578,45792,67895,North West,0.6744532,Bolton North East
E14000579,46568,69687,North West,0.668245153,Bolton South East
E14000580,52884,72719,North West,0.727237723,Bolton West
E14000581,45659,70145,North West,0.650923088,Bootle
E14000582,51264,67064,East Midlands,0.764404151,Boston and Skegness
E14000583,60947,79738,East Midlands,0.764340716,Bosworth
E14000584,51557,72275,South West,0.713344863,Bournemouth East
E14000585,49736,72082,South West,0.689991954,Bournemouth West
E14000586,60340,81271,South East,0.742454258,Bracknell
E14000587,44033,66121,Yorkshire and The Humber,0.665945766,Bradford East
E14000588,45818,63674,Yorkshire and The Humber,0.719571568,Bradford South
E14000589,40129,63372,Yorkshire and The Humber,0.633229186,Bradford West
E14000590,57802,73557,East of England,0.785812363,Braintree
E14000591,51592,77038,London,0.669695475,Brent Central
E14000592,49717,82196,London,0.604859117,Brent North
E14000593,60011,84602,London,0.709333113,Brentford and Isleworth
E14000594,59615,71918,East of England,0.828930171,Brentwood and Ongar
E14000595,63198,80491,South West,0.785156104,Bridgwater and West Somerset
E14000596,48496,68488,Yorkshire and The Humber,0.708094849,Brigg and Goole
E14000597,46927,67858,South East,0.691547054,"Brighton, Kemptown"
E14000598,56159,76557,South East,0.733558003,"Brighton, Pavilion"
E14000599,51263,71193,South West,0.720056747,Bristol East
E14000600,55375,74743,South West,0.740872055,Bristol North West
E14000601,57874,81496,South West,0.710145283,Bristol South
E14000602,63933,91236,South West,0.700743128,Bristol West
E14000603,58927,73552,East of England,0.801161083,Broadland
E14000604,49977,65477,London,0.763275654,Bromley and Chislehurst
