"date","geography","geography code","Age: All categories: Age 16 and over; Highest Level of Qualification: All categories: Highest level of qualification; measures: Value","Age: All categories: Age 16 and over; Highest Level of Qualification: No qualifications; measures: Value","Age: All categories: Age 16 and over; Highest Level of Qualification: Level 1 qualifications; measures: Value","Age: All categories: Age 16 and over; Highest Level of Qualification: Level 2 qualifications; measures: Value","Age: All categories: Age 16 and over; Highest Level of Qualification: Apprenticeship; measures: Value","Age: All categories: Age 16 and over; Highest Level of Qualification: Level 3 qualifications; measures: Value","Age: All categories: Age 16 and over; Highest Level of Qualification: Level 4 qualifications and above; measures: Value","Age: All categories: Age 16 and over; Highest Level of Qualification: Other qualifications; measures: Value","Age: Age 16 to 24; Highest Level of Qualification: All categories: Highest level of qualification; measures: Value","Age: Age 16 to 24; Highest Level of Qualification: No qualifications; measures: Value","Age: Age 16 to 24; Highest Level of Qualification: Level 1 qualifications; measures: Value","Age: Age 16 to 24; Highest Level of Qualification: Level 2 qualifications; measures: Value","Age: Age 16 to 24; Highest Level of Qualification: Apprenticeship; measures: Value","Age: Age 16 to 24; Highest Level of Qualification: Level 3 qualifications; measures: Value","Age: Age 16 to 24; Highest Level of Qualification: Level 4 qualifications and above; measures: Value","Age: Age 16 to 24; Highest Level of Qualification: Other qualifications; measures: Value","Age: Age 25 to 34; Highest Level of Qualification: All categories: Highest level of qualification; measures: Value","Age: Age 25 to 34; Highest Level of Qualification: No qualifications; measures: Value","Age: Age 25 to 34; Highest Level of Qualification: Level 1 qualifications; measures: Value","Age: Age 25 to 34; Highest Level of Qualification: Level 2 qualifications; measures: Value","Age: Age 25 to 34; Highest Level of Qualification: Apprenticeship; measures: Value","Age: Age 25 to 34; Highest Level of Qualification: Level 3 qualifications; measures: Value","Age: Age 25 to 34; Highest Level of Qualification: Level 4 qualifications and above; measures: Value","Age: Age 25 to 34; Highest Level of Qualification: Other qualifications; measures: Value","Age: Age 35 to 49; Highest Level of Qualification: All categories: Highest level of qualification; measures: Value","Age: Age 35 to 49; Highest Level of Qualification: No qualifications; measures: Value","Age: Age 35 to 49; Highest Level of Qualification: Level 1 qualifications; measures: Value","Age: Age 35 to 49; Highest Level of Qualification: Level 2 qualifications; measures: Value","Age: Age 35 to 49; Highest Level of Qualification: Apprenticeship; measures: Value","Age: Age 35 to 49; Highest Level of Qualification: Level 3 qualifications; measures: Value","Age: Age 35 to 49; Highest Level of Qualification: Level 4 qualifications and above; measures: Value","Age: Age 35 to 49; Highest Level of Qualification: Other qualifications; measures: Value","Age: Age 50 to 64; Highest Level of Qualification: All categories: Highest level of qualification; measures: Value","Age: Age 50 to 64; Highest Level of Qualification: No qualifications; measures: Value","Age: Age 50 to 64; Highest Level of Qualification: Level 1 qualifications; measures: Value","Age: Age 50 to 64; Highest Level of Qualification: Level 2 qualifications; measures: Value","Age: Age 50 to 64; Highest Level of Qualification: Apprenticeship; measures: Value","Age: Age 50 to 64; Highest Level of Qualification: Level 3 qualifications; measures: Value","Age: Age 50 to 64; Highest Level of Qualification: Level 4 qualifications and above; measures: Value","Age: Age 50 to 64; Highest Level of Qualification: Other qualifications; measures: Value","Age: Age 65 and over; Highest Level of Qualification: All categories: Highest level of qualification; measures: Value","Age: Age 65 and over; Highest Level of Qualification: No qualifications; measures: Value","Age: Age 65 and over; Highest Level of Qualification: Level 1 qualifications; measures: Value","Age: Age 65 and over; Highest Level of Qualification: Level 2 qualifications; measures: Value","Age: Age 65 and over; Highest Level of Qualification: Apprenticeship; measures: Value","Age: Age 65 and over; Highest Level of Qualification: Level 3 qualifications; measures: Value","Age: Age 65 and over; Highest Level of Qualification: Level 4 qualifications and above; measures: Value","Age: Age 65 and over; Highest Level of Qualification: Other qualifications; measures: Value"
"2011","Berwick-upon-Tweed","E14000554",63866,15354,8569,10599,2923,7205,16547,2669,6838,800,1465,2182,301,1336,641,113,7336,723,1183,1611,180,1436,1988,215,14926,1536,2830,2970,477,2039,4640,434,18007,3876,2246,2540,1027,1776,5601,941,16759,8419,845,1296,938,618,3677,966
"2011","Bishop Auckland","E14000569",72102,21622,9695,11612,3245,8745,14414,2769,9170,1383,1833,2719,373,1889,802,171,9073,1208,1251,1819,201,1925,2447,222,18294,2887,3489,3591,571,2607,4559,590,18944,5983,2334,2472,1155,1834,4263,903,16621,10161,788,1011,945,490,2343,883
"2011","Blaydon","E14000574",72958,18535,10316,11813,4108,8577,16755,2854,8546,898,1668,2551,399,1912,1017,101,9870,743,1281,1833,206,1925,3643,239,18925,2087,3836,3677,653,2443,5678,551,18126,4793,2537,2618,1404,1718,4159,897,17491,10014,994,1134,1446,579,2258,1066
"2011","Blyth Valley","E14000575",67289,17260,10664,11868,3691,8797,12565,2444,8742,1149,1891,2520,453,1818,814,97,9594,898,1456,2109,208,2053,2672,198,17147,1914,3912,3639,589,2576,4115,402,17737,4852,2653,2708,1278,1864,3423,959,14069,8447,752,892,1163,486,1541,788
"2011","City of Durham","E14000641",80604,16489,8481,10664,2423,15920,23618,3009,18373,998,1415,2790,307,9989,2458,416,11367,905,1176,1696,149,1735,5362,344,17889,2220,3010,2914,383,2134,6659,569,17567,4175,2168,2222,864,1584,5744,810,15408,8191,712,1042,720,478,3395,870
"2011","Darlington","E14000658",73746,19208,10126,11771,3760,9395,16201,3285,9935,1414,1916,2937,403,2034,1018,213,11756,1496,1566,2176,188,2280,3530,520,19251,2858,3571,3347,616,2763,5351,745,17096,4738,2224,2206,1193,1801,4054,880,15708,8702,849,1105,1360,517,2248,927
"2011","Easington","E14000677",67782,22719,10100,11308,2705,7916,10351,2683,9626,1340,2035,2977,425,1940,753,156,10160,1497,1691,2284,154,1911,2329,294,17113,3358,3703,3414,409,2285,3326,618,16249,6263,2058,2030,993,1452,2577,876,14634,10261,613,603,724,328,1366,739
"2011","Gateshead","E14000709",77511,23618,11115,11519,3531,8266,16073,3389,11537,1482,2553,2918,444,2126,1652,362,15030,1873,1859,2299,220,2136,5948,695,19860,3826,4015,3560,551,2259,4845,804,16402,6355,2055,2082,1158,1372,2526,854,14682,10082,633,660,1158,373,1102,674
"2011","Hartlepool","E14000733",74228,22758,10057,11992,4076,9276,13063,3006,10976,1511,2427,3207,501,2180,984,166,10655,1553,1475,2178,209,2143,2781,316,19103,3454,3587,3574,720,2723,4379,666,17896,6427,1961,2226,1328,1754,3185,1015,15598,9813,607,807,1318,476,1734,843
"2011","Hexham","E14000746",63603,11867,7241,9749,2450,7160,22818,2318,6915,667,1156,2202,309,1657,842,82,6299,334,736,1128,135,1210,2574,182,15612,1066,2499,2503,377,1903,6912,352,18009,2864,2041,2433,846,1688,7431,706,16768,6936,809,1483,783,702,5059,996
"2011","Houghton and Sunderland South","E14000754",71669,22009,11130,11860,3786,8337,11976,2571,9501,1191,2000,2847,447,2000,900,116,9723,1197,1605,2178,196,1835,2482,230,18564,2828,4477,3857,524,2392,3958,528,17837,6090,2437,2335,1362,1645,3075,893,16044,10703,611,643,1257,465,1561,804
"2011","Jarrow","E14000765",68415,18420,10047,11130,4466,8456,13448,2448,8989,990,1762,2778,453,1935,968,103,9714,946,1394,1925,201,2011,3038,199,17622,2284,3836,3443,685,2414,4454,506,17245,5122,2386,2220,1637,1648,3362,870,14845,9078,669,764,1490,448,1626,770
