"Certainty.to.vote.in.general.election.10.is.certain","GEVote","DidyouvoteGE2015","Past.vote","Eurefvote","Certainty.to.vote.in.EU.referendum.10.is.certain","Gender","Age","Region","Ethnicity","Education","Housing","mosaic_2014_groups","postcode","parliamentary_constituency","local_authority"
NA,"Dont.know","Yes.I.voted","UKIP","Remain","10","Male","82","Wales","White","Level.1","Owned.outright.by.household","E","CM3 ","E14000806","E07000070"
"10","Dont.know","Yes.I.voted","Labour","Dont.know","10","Female","69","East.Midlands","White","0","Privately.rented.from.someone.other.than.a.private.landlord.or.letting.agency","E","LA1 ","E14000825","E07000121"
"10","UKIP","Yes.I.voted","UKIP","Dont.know",NA,"Female","26","London","White","Dont.know","Rented.from.private.landlord","O","ST16 ","E14000965","E07000197"
"10","Labour","Yes.I.voted","Labour","Remain","10","Female","72","Wales","White","0","Owned.outright.by.household","L","NP19 ","W07000055","W06000022"
"1","Conservative","Yes.I.voted","Conservative","Remain","1","Male","28","London","White","Level.1.or.2","Being.bought.on.a.mortgage","O","DA7 ","E14000558","E09000004"
"10","Green.Party","Yes.I.voted","Green.Party","Leave",NA,"Male","45","North.East","White","Level.4","Being.bought.on.a.mortgage","H","DL1 ","E14000658","E06000005"
"10","Labour","Yes.I.voted","Labour",NA,NA,"Male","52","East.of.England","Asian/Asian.British","Level.4","Rented.from.private.landlord","B","RM15 ","E14000995","E06000034"
NA,"Labour","Yes.I.voted","Scottish.National.Party.SNP","Remain","5","Female","47","Scotland","White","No.qualifications","Rented.from.council/local.authority","I","EH16 ","S14000024","S12000036"
NA,"Conservative","Yes.I.voted","Conservative","Leave","10","Male","42","London","White","Level.3","Owned.with.a.mortgage.or.loan","K","E9 ","E14000721","E09000012"
NA,"Labour","Yes.I.voted","UKIP","Leave","10","Male","56","Wales","White","Level.1","Rented.from.council/local.authority","I","LL11 ","W07000062","W06000006"
NA,"Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP","Remain","10","Male","34","Scotland","White","Level.1","Owned.with.a.mortgage.or.loan","G","FK4 ","S14000028","S12000014"
"10","Labour","Yes.I.voted","Labour",NA,NA,"Male","69","London","White","Level.3","Owned.outright.by.household","N","IG8 ","E14000634","E09000031"
"10","Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP",NA,NA,"Female","47","Scotland","White","Level.4","Rented.from.Local.Authority","D","KA29 ","S14000048","S12000021"
"10","Dont.know","Yes.I.voted","blank","Dont.know","10","Female","73","Yorkshire.and.The.Humber","White","Dont.know","Prefer.not.to.say","C","DN14 ","E14000596","E06000011"
NA,"Plaid.Cymru.-.the.Welsh.Nationalists","Yes.I.voted","Labour","Dont.know","10","Male","57","Wales","White","No.qualifications","Owned.outright.by.household","D","SA4 ","W07000046","W06000011"
"10","UKIP","Yes.I.voted","Conservative",NA,NA,"Female","50","South.East","White","Other","Being.bought.on.a.mortgage","G","GU21 ","E14001047","E07000217"
NA,"Labour","Yes.I.voted","Green.Party","Remain","10","Female","27","Wales","White","Level.1","Owned.with.a.mortgage.or.loan","M","CF48 ","W07000071","W06000024"
NA,"Conservative","Yes.I.voted","Conservative","Leave","10","Male","70","London","White","Level.1","Owned.outright.by.household","A","NW11 ","E14000703","E09000003"
"10","Conservative","Yes.I.voted","Conservative","Dont.know","7","Male","59","South.East","White","0","Owned.outright.by.household","F","LE6 ","E14000583","E07000132"
"10","Conservative","Yes.I.voted","Conservative",NA,NA,"Male","52","Scotland","White","Level.1.or.2","Being.bought.on.a.mortgage","I","DD4 ","S14000015","S12000042"
"10","Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP","Remain",NA,"Male","35","Scotland","White","Level.4","Being.bought.on.a.mortgage","D","DG5 ","S14000013","S12000006"
"9","UKIP","Yes.I.voted","UKIP","Leave","10","Male","47","London","Mixed","Level.1","Rented.from.council/local.authority","K","DL14 ","E14000569","E06000047"
"10","Dont.know","Yes.I.voted","Labour","Dont.know","10","Female","52","East.of.England","White","Level.1","Rented.from.council/local.authority","O","NR2 ","E14000864","E07000148"
"10","Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP",NA,NA,"Female","59","Scotland","White","Level.1.or.2","Owned.outright.by.household","M","G81 ","S14000059","S12000039"
"10","Conservative","Yes.I.voted","Conservative","Remain","10","Male","56","Scotland","White","Level.2","Owned.outright.by.household","C","EH42 ","S14000020","S12000010"
NA,"Plaid.Cymru.-.the.Welsh.Nationalists","Yes.I.voted","Conservative","Leave","10","Male","55","Wales","White","Level.3","Owned.outright.by.household","C","SA44 ","W07000067","W06000010"
"10","Conservative","Yes.I.voted","Conservative","Remain",NA,"Female","65","South.East","White","Level.4","Being.bought.on.a.mortgage","C","RG10 ","E14000803","E06000040"
"10","Dont.know","Yes.I.voted","UKIP","Leave","10","Female","69","West.Midlands","White","No.formal.qualifications","Owned.outright.by.household","E","B74 ","E14000531","E08000030"
"10","Conservative","Yes.I.voted","Conservative","Remain","10","Female","53","Wales","White","Level.1.or.2","Being.bought.on.a.mortgage","F","CF64 ","W07000078","W06000014"
"10","Conservative","Yes.I.voted","Conservative",NA,NA,"Male","40","East.Midlands","White","Level.1.or.2","Rented.from.private.landlord","J","PA21 ","S14000005","S12000035"
NA,"Dont.know","Yes.I.voted","Dont.remember","Remain","10","Male","65","Wales","White","Level.4","Rented.from.a.private.landlord.or.letting.agency","J","SA10 ","W07000049","W06000012"
"5","Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP","Leave","1","Male","33","Scotland","White","Level.1","Prefer.not.to.say","K","KY8 ","S14000036","S12000015"
"10","Labour","Yes.I.voted","Labour",NA,NA,"Male","24","South.East","White","Other","Owned.outright.by.household","F","DA13 ","E14000715","E07000109"
"7","Dont.know","Yes.I.voted","Labour","Dont.know","Dont.know","Female","46","Wales","White","Level.3","Being.bought.on.a.mortgage","D","CH6 ","W07000042","W06000005"
"5","UKIP","No.I.wanted.to.vote.but.was.unable.to.do.so","0","Leave",NA,"Male","34","Wales","White","Level.3","Being.bought.on.a.mortgage","I","NP12 ","W07000077","W06000018"
"1","Dont.know","No.I.wanted.to.vote.but.was.unable.to.do.so",NA,"Dont.know","Dont.know","Female","26","London","White","Level.1","Social.housing.rented.other.than.from.council/local.authority","K","SA11 ","W07000069","W06000012"
"10","Other.party","Yes.I.voted","Green.Party","Leave","10","Male","29","West.Midlands","White","Level.1","Owned.with.a.mortgage.or.loan","G","B98 ","E14000892","E07000236"
"1","Dont.know","No.I.chose.not.to.vote",NA,"Remain","10","Prefer.not.to.say","55","North.East","Prefer.not.to.say","0","Rented.from.a.private.landlord.or.letting.agency","O","TN38 ","E14000735","E07000062"
NA,"Conservative","Yes.I.voted","Conservative","Dont.know","10","Male","44","London","White","Level.1","Owned.with.a.mortgage.or.loan","G","BR4 ","E14000551","E09000006"
"7","Dont.know","Yes.I.voted","Dont.remember","Leave","8","Female","29","South.East","White","Level.1","Owned.with.a.mortgage.or.loan","H","DA9 ","E14000659","E07000107"
"10","UKIP","Yes.I.voted","UKIP","Leave","10","Female","Prefer.not.to.say","East.Midlands","White","Level.1","Rented.from.a.private.landlord.or.letting.agency","J","SE18 ","E14000718","E09000011"
NA,"Conservative","Yes.I.voted","Conservative","Leave","10","Male","63","Wales","White","Level.4","Owned.outright.by.household","N","NP19 ","W07000055","W06000022"
"10","Conservative","Yes.I.voted","Conservative","Dont.know",NA,"Male","55","North.West","White","Other","Owned.outright.by.household","A","M15 ","E14000807","E08000003"
NA,"Conservative","Yes.I.voted","Conservative","Remain","10","Female","25","Wales","Asian/Asian.British","Level.4","Owned.with.a.mortgage.or.loan","B","CF38 ","W07000075","W06000016"
"10","Conservative","Yes.I.voted","Conservative","Leave","7","Male","51","South.West","White","Level.1","Owned.with.a.mortgage.or.loan","K","LL20 ","W07000062","W06000006"
NA,"UKIP","Yes.I.voted","Conservative","Leave","10","Male","72","Wales","White","Level.4","Owned.outright.by.household","E","CH6 ","W07000042","W06000005"
"6","Labour","No.I.wanted.to.vote.but.was.unable.to.do.so","blank","Remain","6","Female","45","South.East","Black/Black.British","Level.4","Rented.from.private.landlord","A","TN13 ","E14000918","E07000111"
"5","Conservative","Yes.I.voted","Conservative","Leave","5","Female","23","North.West","White","No.qualifications","Rented.from.council/local.authority","K","WR9 ","E14000818","E07000238"
NA,"Labour","Yes.I.voted","Labour","Leave","10","Male","63","Wales","White","Other","Owned.with.a.mortgage.or.loan","M","LL19 ","W07000060","W06000004"
"8","Conservative","Yes.I.voted","Conservative","Remain","10","Female","47","South.East","White","Level.4","Owned.outright.by.household","B","HP7 ","E14000631","E07000005"
"10","Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP",NA,NA,"Female","44","Scotland","White","Dont.know","Prefer.not.to.say","K","DD8 ","S14000004","S12000041"
"10","Conservative","Yes.I.voted","Conservative","Leave",NA,"Female","28","London","White","Level.4","Rented.from.private.landlord","G","EN6 ","E14000606","E07000241"
NA,"Green.Party","Yes.I.voted","UKIP","Leave","10","Male","63","London","White","Level.1","Rented.from.council/local.authority","K","E16 ","E14001032","E09000025"
"10","Labour","Yes.I.voted","Labour","Remain",NA,"Female","40","South.East","White","Level.4","Other/Dont.know","H","RG2 ","E14001048","E06000041"
NA,"Dont.know","Yes.I.voted","Liberal.Democrat","Remain","10","Female","29","London","White","Level.1","Rented.from.council/local.authority","K","N11 ","E14000636","E09000003"
